repetition,order,baseline_seconds,candidate_seconds
1,candidate_first,27.8274452,30.5722833
2,baseline_first,24.5332889,33.7462579
3,baseline_first,25.3058148,33.7168556
4,candidate_first,27.0611547,34.327093
5,baseline_first,26.9817746,35.9902433
6,baseline_first,27.6636181,36.1131283
7,candidate_first,26.5985069,35.5923387
8,candidate_first,27.5265819,35.4876055
9,baseline_first,25.7646124,32.9199401
10,candidate_first,25.5496271,31.4647277
11,candidate_first,24.073609,32.2561033
12,baseline_first,24.6424556,33.3195844
13,candidate_first,23.8011491,33.1984078
14,candidate_first,21.6559879,30.5164407
15,baseline_first,25.9965275,31.5037168
16,baseline_first,24.9053075,33.3648707
17,candidate_first,24.9935692,32.7749729
18,baseline_first,22.7772674,30.8556848
19,baseline_first,23.2624485,31.9365663
20,candidate_first,25.5373566,33.1615231
21,baseline_first,26.7612435,32.9713739
22,candidate_first,25.2813608,33.8254369
23,baseline_first,24.7197831,35.1331837
24,candidate_first,28.4196624,34.7372766
25,baseline_first,26.7363632,37.2151526
26,candidate_first,24.2718086,34.4521844
27,candidate_first,25.9991016,33.215894
28,baseline_first,27.7847562,35.6209722
29,baseline_first,26.5199776,31.5073906
30,candidate_first,27.037017,27.1055085
